Id,Category
0,3
1,10
2,0
3,9
4,6
5,3
6,1
7,10
8,0
9,9
10,9
11,0
12,9
13,10
14,8
15,3
16,9
17,4
18,3
19,9
20,3
21,5
22,9
23,3
24,9
25,3
26,10
27,3
28,9
29,1
30,9
31,9
32,9
33,1
34,2
35,9
36,8
37,10
38,10
39,2
40,6
41,5
42,5
43,2
44,5
45,1
46,10
47,3
48,3
49,9
50,10
51,1
52,3
53,3
54,0
55,8
56,7
57,9
58,6
59,9
60,5
61,8
62,3
63,3
64,10
65,1
66,3
67,9
68,4
69,10
70,5
71,5
72,5
73,8
74,9
75,7
76,4
77,9
78,8
79,9
80,0
81,3
82,9
83,8
84,6
85,0
86,4
87,4
88,9
89,9
90,9
91,5
92,3
93,9
94,0
95,6
96,5
97,9
98,6
99,10
100,4
101,5
102,8
103,2
104,4
105,9
106,6
107,9
108,9
109,3
110,5
111,5
112,5
113,3
114,9
115,4
116,9
117,9
118,9
119,3
120,4
121,5
122,3
123,5
124,1
125,8
126,5
127,8
128,10
129,9
130,5
131,0
132,3
133,3
134,9
135,2
136,3
137,10
138,9
139,9
140,1
141,10
142,5
143,5
144,1
145,3
146,9
147,5
148,8
149,5
150,5
151,4
152,9
153,3
154,9
155,1
156,1
157,9
158,8
159,1
160,5
161,1
162,5
163,9
164,9
165,3
166,5
167,8
168,3
169,9
170,8
171,2
172,9
173,4
174,1
175,2
176,9
177,10
178,8
179,9
180,3
181,9
182,9
183,0
184,10
185,9
186,10
187,9
188,3
189,4
190,3
191,3
192,1
193,9
194,0
195,9
196,8
197,9
198,0
199,1
200,9
201,2
202,5
203,9
204,3
205,0
206,0
207,9
208,10
209,4
210,1
211,5
212,10
213,5
214,9
215,0
216,10
217,3
218,9
219,1
220,8
221,2
222,2
223,7
224,9
225,5
226,9
227,9
228,6
229,3
230,0
231,9
232,7
233,1
234,9
235,9
236,0
237,10
238,1
239,9
240,5
241,3
242,8
243,9
244,9
245,9
246,0
247,9
248,10
249,9
250,9
251,3
252,5
253,9
254,9
255,9
256,4
257,9
258,9
259,4
260,10
261,8
262,10
263,3
264,5
265,9
266,1
267,3
268,0
269,9
270,9
271,3
272,10
273,9
274,0
275,9
276,9
277,6
278,9
279,9
280,9
281,9
282,9
283,0
284,10
285,0
286,2
287,4
288,3
289,10
290,9
291,4
292,9
293,10
294,9
295,6
296,7
297,9
298,8
299,5
300,2
301,9
302,3
303,1
304,0
305,10
306,8
307,3
308,9
309,3
310,0
311,0
312,9
313,8
314,9
315,3
316,9
317,9
318,5
319,9
320,3
321,2
322,5
323,0
324,4
325,5
326,5
327,6
328,10
329,4
330,3
331,0
332,8
333,9
334,0
335,1
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,9
345,9
346,4
347,6
348,4
349,9
350,5
351,10
352,6
353,8
354,6
355,5
356,9
357,10
358,10
359,4
360,9
361,5
362,10
363,9
364,8
365,5
366,4
367,3
368,9
369,0
370,9
371,4
372,5
373,4
374,3
375,9
376,9
377,9
378,1
379,5
380,10
381,6
382,3
383,9
384,4
385,0
386,3
387,10
388,10
389,0
390,9
391,0
392,10
393,8
394,9
395,9
396,8
397,8
398,8
399,9
400,9
401,1
402,9
403,9
404,10
405,3
406,10
407,5
408,5
409,4
410,9
411,7
412,3
413,9
414,3
415,7
416,9
417,4
418,9
419,3
420,5
421,9
422,5
423,10
424,3
425,9
426,9
427,9
428,9
429,9
430,0
431,2
432,0
433,8
434,3
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,9
443,1
444,5
445,3
446,0
447,10
448,3
449,1
450,4
451,9
452,3
453,9
454,6
455,6
456,5
457,8
458,8
459,10
460,10
461,9
462,10
463,4
464,1
465,9
466,7
467,3
468,9
469,0
470,5
471,3
472,8
473,8
474,9
475,0
476,6
477,2
478,9
479,0
480,9
481,4
482,3
483,1
484,10
485,9
486,1
487,9
488,0
489,9
490,5
491,9
492,9
493,9
494,2
495,9
496,8
497,5
498,9
499,10
500,9
501,1
502,5
503,9
504,4
505,7
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,0
515,2
516,9
517,9
518,5
519,3
520,9
521,3
522,7
523,9
524,1
525,5
526,9
527,9
528,6
529,0
530,4
531,1
532,3
533,9
534,9
535,10
536,9
537,4
538,8
539,5
540,2
541,1
542,5
543,0
544,9
545,8
546,0
547,5
548,3
549,8
550,9
551,9
552,9
553,0
554,4
555,9
556,9
557,5
558,9
559,2
560,9
561,3
562,5
563,8
564,0
565,4
566,5
567,9
568,8
569,3
570,9
571,9
572,9
573,5
574,8
575,3
576,9
577,0
578,1
579,3
580,9
581,5
582,9
583,9
584,3
585,9
586,2
587,1
588,6
589,5
590,1
591,4
592,4
593,9
594,9
595,9
596,0
597,3
598,4
599,4
600,5
601,10
602,0
603,6
604,3
605,9
606,9
607,4
608,5
609,3
610,5
611,3
612,9
613,3
614,9
615,10
616,8
617,9
618,0
619,9
620,7
621,4
622,4
623,5
624,9
625,3
626,3
627,8
628,9
629,6
630,3
631,0
632,9
633,2
634,9
635,9
636,9
637,1
638,9
639,3
640,10
641,0
642,9
643,9
644,9
645,0
646,7
647,9
648,5
649,3
650,7
651,10
652,8
653,8
654,2
655,5
656,9
657,5
658,9
659,4
660,5
661,6
662,3
663,9
664,9
665,9
666,0
667,5
668,9
669,0
670,7
671,9
672,1
673,0
674,9
675,0
676,3
677,9
678,2
679,9
680,2
681,3
682,3
683,9
684,9
685,0
686,0
687,9
688,10
689,6
690,9
691,9
692,9
693,5
694,4
695,3
696,6
697,8
698,0
699,9
700,0
701,9
702,10
703,9
704,1
705,10
706,8
707,7
708,5
709,9
710,0
711,8
712,6
713,9
714,6
715,4
716,3
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,5
729,9
730,8
731,1
732,8
733,5
734,4
735,2
736,3
737,0
738,1
739,7
740,3
741,3
742,3
743,3
744,0
745,9
746,9
747,9
748,6
749,8
750,5
751,2
752,3
753,5
754,3
755,9
756,8
757,10
758,9
759,8
760,2
761,1
762,3
763,1
764,1
765,3
766,9
767,9
768,5
769,10
770,9
771,4
772,5
773,5
774,3
775,9
776,8
777,5
778,5
779,4
780,4
